label,props
DUNS,"[uuid,text]"
IATI_activities,"[uuid,generated_datetime,version,filename,linked_data_default,noNamespaceSchemaLocation,schemaLocation,lang,record_offset,total_records_available,records_returned,generator]"
IATI_activity,"[uuid,default_currency,lang,humanitarian,linked_data_uri,hierarchy,last_updated_datetime,id,budget_not_provided,version,publish]"
IATI_identifier,"[uuid,text]"
IATI_organisation,"[uuid,lang,last_updated_datetime,default_currency,hierarchy,id]"
IATI_organisations,"[uuid,generated_datetime,version,filename,noNamespaceSchemaLocation,schemaLocation]"
IATI_summary,"[uuid,total_records_available,records_returned]"
Keywords,[uuid]
Strategyid,"[uuid,text]"
TAG,"[type,uuid,lang,ref,text,role,code,iso_date,percentage,vocabulary,format,url,default_currency,humanitarian,linked_data_uri,hierarchy,last_updated_datetime,generated_datetime,version,filename,currency,value_date,status,secondary_reporter,activity_id,srsName,significance,provider_activity_id,crs_channel_code,receiver_activity_id,vocabulary_uri,label,attached,year,value,measure,ascending,aggregation_status,name,linked_data_default,end,begin,owner_ref,owner_name,indicator_uri,level,noNamespaceSchemaLocation,precision,latitude,longitude,id,updated,adm1,country,adm2,IATI_equivalent,schemaLocation,centre_ref,gazetteer_ref,indicator_id,result_id,record_offset,total_records_available,records_returned,budget_not_provided,indid,contributionid,strategy_amount,strategy_end_date,strategy_start_date,organisationtype,internal_org_ref,remark,organizationcode,website,email,abbreviation,date_type,date_type_remark,activity_status,description,coding,photo_credit,photo_id,budgettype,continent,explanation,encoding,systemlevel,systemtype,systemstorage,field,infradata_id,generator,publish,budget_period,donor_type,publisher_role,file_id,contact_email,license,title,publisher_id,activity_period,source_url,verification_status,donor_id,rate_2,rate_1]"
Tag,"[vocabulary,code,uuid]"
Typeoffundingid,"[uuid,text]"
activity_date,"[type,iso_date,uuid,text,lang,date_type,date_type_remark,remark]"
activity_description,[uuid]
activity_scope,"[code,uuid,text]"
activity_status,"[code,uuid,text,lang,remark,activity_status]"
activity_website,"[uuid,text]"
actual,"[uuid,value]"
administrative,"[uuid,level,vocabulary,code,text,adm1,country,adm2,continent]"
aid_type,"[vocabulary,code,uuid,text,lang]"
aidtype_flag,"[uuid,significance,code]"
appropriated_agency,"[code,uuid]"
appropriation,[uuid]
appropriation_amount,"[uuid,text]"
appropriation_year,"[uuid,text]"
baseline,"[uuid,year,value,iso_date]"
budget,"[type,uuid,status,budgettype,remark]"
budget_item,"[percentage,code,uuid]"
budget_line,"[uuid,ref]"
capital_spend,"[percentage,uuid]"
category,"[code,uuid,text,lang]"
channel_code,"[uuid,text]"
code,"[uuid,text]"
collaboration_type,"[code,uuid,text,lang]"
comment,"[uuid,text,lang]"
commitment_date,"[iso_date,uuid]"
condition,"[type,uuid,text]"
conditions,"[uuid,attached]"
contact_info,"[type,uuid]"
contribution,"[uuid,contributionid]"
contributionstatusid,"[uuid,text]"
coordinates,"[uuid,precision,latitude,longitude,explanation]"
country,"[uuid,text]"
country_budget_items,"[vocabulary,uuid]"
country_of_origin,"[code,uuid]"
crs_add,[uuid]
dac_sector,"[uuid,text,code]"
default_aid_type,"[vocabulary,code,uuid,lang,text]"
default_finance_type,"[code,uuid,lang,text,vocabulary]"
default_flow_type,"[code,uuid,lang,text]"
default_tied_status,"[code,uuid,text,lang]"
department,[uuid]
descr,"[uuid,text]"
description,"[type,uuid,text,lang,description,coding]"
dimension,"[name,uuid,value]"
disbursement_channel,"[code,uuid,lang,text]"
document_date,"[iso_date,uuid]"
document_link,"[uuid,format,url,photo_credit,photo_id]"
duns_number,[uuid]
email,"[uuid,text]"
exactness,"[code,uuid]"
expense_line,"[uuid,ref]"
feature_designation,"[code,uuid]"
finance_type,"[code,uuid,text,lang]"
fiscal_funding_year,"[end,begin,uuid]"
flagUrl,"[uuid,text]"
flow_type,"[code,uuid,text,lang]"
framework_sector,"[code,uuid,text]"
framework_sector_code,"[code,uuid]"
gazetteer_entry,"[uuid,text,gazetteer_ref]"
geojson,"[status,type,encoding,uuid]"
humanitarian_scope,"[type,vocabulary,code,uuid,vocabulary_uri]"
implementing_agent,[uuid]
indicator,"[uuid,measure,ascending,aggregation_status,id,indicator_id,indid,field]"
interagency_transfer_status,"[status,uuid]"
interest_arrears,"[uuid,text]"
interest_received,"[uuid,text]"
job_title,"[uuid,text]"
keyWordid,"[uuid,text]"
language,"[code,uuid,text]"
legacy_data,"[uuid,value,name,IATI_equivalent]"
loan_status,"[uuid,year,currency,value_date]"
loan_terms,"[uuid,rate_2,rate_1]"
location,"[uuid,ref,percentage]"
location_class,"[code,uuid,text]"
location_id,"[vocabulary,code,uuid]"
location_reach,"[code,uuid]"
location_type,"[code,uuid,text,lang]"
mailing_address,"[uuid,text]"
main_account,"[uuid,text,code]"
measure_detail,[uuid]
mechanism_signing_date,"[iso_date,uuid]"
name,"[uuid,lang,text,type,encoding]"
narrative,"[uuid,text,lang]"
organisation,"[uuid,text]"
organisation_identifier,"[uuid,text,type]"
other_flags,"[uuid,significance,code]"
other_identifier,"[uuid,ref,type,owner_ref,text,owner_name]"
owner_org,"[uuid,ref]"
participating_org,"[type,uuid,role,ref,activity_id,crs_channel_code,text,lang,centre_ref,id,internal_org_ref,remark,organizationcode,website,email,abbreviation]"
period,"[uuid,id]"
period_end,"[iso_date,uuid,text]"
period_start,"[iso_date,uuid,text]"
person_name,"[uuid,text]"
planned_disbursement,"[uuid,type,updated]"
point,"[uuid,srsName]"
policy_marker,"[uuid,significance,code,vocabulary,text,vocabulary_uri,lang]"
pos,"[uuid,text]"
principal_arrears,"[uuid,text]"
principal_outstanding,"[uuid,text]"
provider_org,"[uuid,ref,provider_activity_id,type,text,id,centre_ref]"
purpose_statement,"[uuid,text]"
receiver_org,"[uuid,type,receiver_activity_id,ref,text,centre_ref]"
recipient_country,"[code,uuid,percentage,text,lang]"
recipient_country_budget,"[uuid,status,type]"
recipient_org,"[uuid,lang,ref,text]"
recipient_org_budget,"[uuid,status]"
recipient_region,"[code,uuid,percentage,vocabulary_uri,vocabulary,text,lang,encoding]"
recipient_region_budget,"[status,uuid,type]"
reference,"[uuid,indicator_uri,vocabulary,code,vocabulary_uri]"
registry_record,"[donor_type,publisher_role,file_id,contact_email,license,title,publisher_id,activity_period,uuid,generated_datetime,source_url,last_updated_datetime,verification_status,format,donor_id,lang]"
regular_account,"[code,uuid]"
related_activity,"[type,uuid,ref,text]"
repayment_final_date,"[iso_date,uuid]"
repayment_first_date,"[iso_date,uuid]"
repayment_plan,"[code,uuid]"
repayment_type,"[code,uuid]"
reporting_org,"[type,uuid,lang,ref,text,secondary_reporter,organisationtype,url]"
result,"[type,aggregation_status,uuid,id,result_id,infradata_id,description]"
sector,"[percentage,vocabulary,code,uuid,vocabulary_uri,text,lang]"
sidadepartmentid,"[uuid,text]"
signing_date,"[uuid,text]"
source_appropriation_agency,"[code,uuid]"
state_location,[uuid]
strategies,[uuid]
strategy,"[currency,code,uuid,strategy_amount,strategy_end_date,strategy_start_date]"
sub_division,"[code,uuid]"
subdivision,"[type,encoding,uuid,text]"
tag,"[vocabulary,code,uuid,vocabulary_uri]"
target,"[uuid,value]"
tec1,[uuid]
telephone,"[uuid,text]"
tied_status,"[code,uuid,lang,text]"
title,"[uuid,lang,text,systemlevel,systemtype,systemstorage]"
titleSV,"[uuid,text]"
total_budget,"[status,uuid,type,id]"
total_expenditure,"[uuid,id]"
transaction,"[uuid,humanitarian,ref]"
transaction_date,"[iso_date,uuid,text,budget_period]"
transaction_type,"[code,uuid,text]"
treasury_account,"[uuid,text,code]"
treasury_info,[uuid]
treasury_main_account,"[code,uuid]"
treasury_main_regular,"[code,uuid]"
type,"[uuid,text]"
usg_activity,[uuid]
usg_organisation,[uuid]
value,"[uuid,text,currency,value_date,label,type]"
value_USD,"[uuid,text]"
website,"[uuid,text]"